ID,Name,Price (CZK),Location,Latitude,Longitude,Flat Type,Is New
2613645900,Prodej bytu 2+kk 50 m²,7676000,Praha 9 - Hostavice,50.07454822772958,14.57584277227042,4,False
1705517644,Prodej bytu 2+kk 72 m²,11672000,Praha 5 - Radlice,50.04393922772958,14.39308077227042,4,False
2968638028,Prodej bytu 2+kk 53 m²,7161000,Praha 4 - Chodov,50.03112122772958,14.51031577227042,4,False
3640201804,Pronájem bytu 2+kk 62 m²,22000,Praha 9,50.09855022772958,14.56907177227042,4,False
278774348,Pronájem bytu 2+kk 66 m²,26000,Praha 4 - Hodkovičky,50.01164722772958,14.414448772270418,4,False
1847968332,Prodej bytu 2+kk 55 m²,12219000,Praha 2 - Vinohrady,50.05623422772958,14.444459772270418,4,False
45560396,Pronájem bytu 2+kk 65 m²,27000,Praha 3 - Žižkov,50.07437222772958,14.46517377227042,4,False
518591052,Prodej bytu 2+kk 64 m²,0,Praha 1 - Staré Město,50.07436522772958,14.42926977227042,4,False
4054520396,Pronájem bytu 2+kk 83 m²,32000,Praha 3 - Žižkov,50.07254522772958,14.46878577227042,4,False
283710028,Pronájem bytu 2+kk 75 m²,34000,Praha 8 - Karlín,50.083825227729584,14.46231877227042,4,False
3622376012,Pronájem bytu 2+kk 87 m²,30000,Praha 5 - Hlubočepy,50.02369422772958,14.38164677227042,4,False
421073484,Pronájem bytu 2+kk 73 m²,31000,Praha 4 - Modřany,49.999379227729584,14.41185477227042,4,False
3791319628,Prodej bytu 2+kk 72 m²,12026000,Praha 5 - Radlice,50.04393922772958,14.39308077227042,4,False
3624473164,Pronájem bytu 2+kk 58 m² (Loft),25000,Praha 8 - Libeň,50.09213722772958,14.48822977227042,4,False
4198044236,Prodej bytu 2+kk 68 m²,7938000,Praha 9 - Hostavice,50.073747227729584,14.57495477227042,4,False
2671317580,Pronájem bytu 2+kk 55 m² (Jednopodlažní),44000,Praha 2 - Nové Město,50.05998022772958,14.42631277227042,4,False
4080603724,Pronájem bytu 2+kk 62 m²,0,Praha 7 - Holešovice,50.08817022772958,14.43596577227042,4,False
2268664396,Prodej bytu 2+kk 37 m²,5812000,Praha 4 - Chodov,50.01389022772958,14.50222277227042,4,False
892932684,Prodej bytu 2+kk 66 m²,8911000,Praha,50.03470022772958,14.49686677227042,4,False
3441631820,Pronájem bytu 2+kk 72 m²,26000,Praha 4 - Kunratice,50.01138022772958,14.49971877227042,4,False
3878228556,Pronájem bytu 2+kk 48 m² (Jednopodlažní),23000,Praha 9 - Libeň,50.09294222772958,14.49806277227042,4,False
3092845132,Pronájem bytu 2+kk 73 m² (Jednopodlažní),30000,Praha 3 - Žižkov,50.07062622772958,14.46175377227042,4,False
240718412,Pronájem bytu 2+kk 45 m²,19000,Praha 4 - Nusle,50.04102822772958,14.44514877227042,4,False
3210285644,Pronájem bytu 2+kk 43 m² (Jednopodlažní),18000,Praha 9 - Letňany,50.12681722772958,14.52723577227042,4,False
2690191948,Pronájem bytu 2+kk 52 m²,25000,Praha 8 - Libeň,50.09642122772958,14.48713977227042,4,False
2220429900,Pronájem bytu 2+kk 57 m²,26000,Praha 5 - Smíchov,50.05634822772958,14.40365277227042,4,False
961090124,Prodej bytu 2+kk 51 m²,9735000,Praha 5 - Stodůlky,50.02897822772958,14.32345777227042,4,False
3729330764,Pronájem bytu 2+kk 58 m² (Jednopodlažní),31000,Praha 5 - Smíchov,50.056771227729584,14.39813277227042,4,False
1548292684,Prodej bytu 2+kk 53 m²,6348000,Praha 4 - Háje,50.01932622772958,14.54625177227042,4,False
3427340876,Pronájem bytu 2+kk 46 m²,21000,Praha 5 - Smíchov,50.05640922772958,14.41182477227042,4,False
575214156,Pronájem bytu 2+kk 59 m²,24000,Praha 3 - Žižkov,50.07746222772958,14.47864077227042,4,False
501359180,Pronájem bytu 2+kk 46 m²,22000,Praha 2 - Vinohrady,50.06244022772958,14.44854877227042,4,False
2773029452,Pronájem bytu 2+kk 66 m²,32000,Praha 7 - Holešovice,50.09164522772958,14.46579777227042,4,False
1316557388,Pronájem bytu 2+kk 72 m² (Jednopodlažní),28000,Praha 3 - Žižkov,50.07436922772958,14.46517477227042,4,False
4252877388,Pronájem bytu 2+kk 40 m²,19000,Praha 4 - Chodov,50.02137522772958,14.49194377227042,4,False
2036929100,Pronájem bytu 2+kk 46 m²,17000,Praha 10 - Vršovice,50.05623022772958,14.46839577227042,4,False
2993230412,Prodej bytu 2+kk 89 m²,13396000,Praha 4 - Michle,50.03838522772958,14.46323777227042,4,False
4154929740,Prodej bytu 2+kk 55 m²,8387000,Praha 9 - Kbely,50.12078222772958,14.56341977227042,4,False
221651532,Prodej bytu 2+kk 60 m²,7676000,Praha 4 - Michle,50.04281722772958,14.46455077227042,4,False
491004492,Pronájem bytu 2+kk 62 m²,24000,Praha 9 - Letňany,50.12420422772958,14.52007277227042,4,False
711205452,Pronájem bytu 2+kk 72 m²,27000,Praha 3 - Strašnice,50.07313622772958,14.49569077227042,4,False
860107340,Pronájem bytu 2+kk 72 m²,26000,Praha 4 - Háje,50.01474922772958,14.54027777227042,4,False
3013616972,Prodej bytu 2+kk 58 m²,8108000,Praha 9 - Čakovice,50.14604722772958,14.53080777227042,4,False
497685068,Pronájem bytu 2+kk 71 m²,25000,Praha 3 - Žižkov,50.06844122772958,14.46890277227042,4,False
2826646092,Pronájem bytu 2+kk 82 m²,34000,Praha 1 - Nové Město,50.06602622772958,14.43672177227042,4,False
1303523916,Pronájem bytu 2+kk 82 m²,34000,Praha 1 - Nové Město,50.06708322772958,14.43701777227042,4,False
558678604,Prodej bytu 2+kk 48 m² (Jednopodlažní),6395000,Praha 5 - Smíchov,50.05843122772958,14.41906177227042,4,False
2690699852,Pronájem bytu 2+kk 72 m²,30000,Praha 6 - Dejvice,50.08825022772958,14.37739477227042,4,False
1687851596,Pronájem bytu 2+kk 66 m²,43000,Praha 1 - Nové Město,50.06744922772958,14.438810772270418,4,False
1764934220,Prodej bytu 2+kk 54 m²,9651000,Praha 10,50.04770822772958,14.52987777227042,4,False
2335650380,Prodej bytu 2+kk 79 m²,19476000,Praha 6 - Břevnov,50.07518122772958,14.35235277227042,4,False
2784629324,Pronájem bytu 2+kk 79 m²,27000,Praha 9 - Vysočany,50.09922922772958,14.50962377227042,4,False
3057259084,Prodej bytu 2+kk 43 m² (Jednopodlažní),5812000,Praha 3 - Žižkov,50.07908422772958,14.48797077227042,4,False
1331552844,Pronájem bytu 2+kk 117 m²,52000,Praha 2 - Vinohrady,50.06655222772958,14.44640077227042,4,False
2655113804,Pronájem bytu 2+kk 86 m²,52000,Praha 3 - Vinohrady,50.06733022772958,14.46164077227042,4,False
475054668,Pronájem bytu 2+kk 52 m²,17000,Praha 9 - Kbely,50.12726322772958,14.560328772270418,4,False
1140834892,Pronájem bytu 2+kk 62 m²,38000,Praha 5 - Smíchov,50.05006922772958,14.41536177227042,4,False
2746946124,Pronájem bytu 2+kk 51 m²,23000,Praha 4 - Háje,50.02086422772958,14.53880477227042,4,False
2739614284,Pronájem bytu 2+kk 58 m²,29000,Praha 9 - Kbely,50.11844422772958,14.54694477227042,4,False
3940225612,Pronájem bytu 2+kk 62 m²,23000,Praha 5 - Stodůlky,50.04174222772958,14.34565577227042,4,False
4180349516,Pronájem bytu 2+kk 43 m²,20000,Praha 9 - Prosek,50.11121922772958,14.50419577227042,4,False
450135372,Prodej bytu 2+kk 50 m²,6988000,Praha 10 - Praha-Dubeč,50.04995522772958,14.60208377227042,4,False
489361996,Pronájem bytu 2+kk 68 m²,31000,Praha 4 - Chodov,50.03206022772958,14.51295177227042,4,False
728437324,Pronájem bytu 2+kk 58 m²,27000,Praha 9 - Vysočany,50.092721227729584,14.52250477227042,4,False
1519174220,Pronájem bytu 2+kk 67 m²,25000,Praha 3 - Žižkov,50.077684227729584,14.47559777227042,4,False
2963157580,Pronájem bytu 2+kk 65 m²,34000,Praha 4 - Nusle,50.05450222772958,14.44886377227042,4,False
1677861452,Prodej bytu 2+kk 66 m²,11392000,Praha 7 - Holešovice,50.09357222772958,14.44672777227042,4,False
323953228,Prodej bytu 2+kk 51 m² (Jednopodlažní),4647000,Praha 3 - Žižkov,50.06829222772958,14.47182877227042,4,False
381231692,Prodej bytu 2+kk 71 m²,2667000,Praha 10 - Dolní Měcholupy,50.05497122772958,14.56722077227042,4,False
3250135628,Prodej bytu 2+kk 67 m²,2446000,Praha 10 - Dolní Měcholupy,50.05497122772958,14.56722077227042,4,False
3295027788,Pronájem bytu 2+kk 58 m² (Podkrovní),30000,Praha 4 - Točná,49.95900122772958,14.44181977227042,4,False
4018627916,Prodej bytu 2+kk 58 m² (Podkrovní),8678000,Praha 4 - Točná,49.95995822772958,14.44256377227042,4,False
1955930700,Pronájem bytu 2+kk 55 m² (Jednopodlažní),22000,Praha 7 - Holešovice,50.09454122772958,14.46487177227042,4,False
3802473036,Pronájem bytu 2+kk 54 m² (Podkrovní),17000,Praha 4 - Michle,50.04469822772958,14.47475477227042,4,False
3167294028,Pronájem bytu 2+1 58 m²,19000,Praha 5 - Radotín,49.97904322772958,14.37963777227042,5,False
1216079180,Prodej bytu 2+1 87 m²,10821000,Praha 5 - Smíchov,50.05038222772958,14.41588177227042,5,False
2415465036,Pronájem bytu 2+1 73 m² (Podkrovní),40000,Praha 5 - Smíchov,50.05621822772958,14.35073577227042,5,False
3689484876,Prodej bytu 2+1 89 m² (Jednopodlažní),10472000,Praha 5 - Radotín,49.97552222772958,14.37460677227042,5,False
471405132,Pronájem bytu 2+1 69 m² (Jednopodlažní),25000,Praha 10 - Vršovice,50.06087622772958,14.48583377227042,5,False
3828945484,Pronájem bytu 2+1 93 m²,46000,Praha 2 - Vinohrady,50.05969022772958,14.45400877227042,5,False
1497961036,Pronájem bytu 2+1 73 m²,25000,Praha 9 - Kbely,50.12851122772958,14.55895877227042,5,False
2658734668,Pronájem bytu 2+1 61 m²,20000,Praha 9 - Hloubětín,50.094052227729584,14.55302477227042,5,False
2031751756,Prodej bytu 2+1 58 m²,9889000,Praha 6 - Břevnov,50.07474222772958,14.35536177227042,5,False
2423992908,Pronájem bytu 2+1 68 m²,23000,Praha 10 - Strašnice,50.051362227729584,14.52115677227042,5,False
3962122828,Prodej bytu 2+1 62 m²,6988000,Praha 10 - Záběhlice,50.04872622772958,14.50861477227042,5,False
3107856972,Pronájem bytu 2+1 61 m²,18000,Praha 9 - Hloubětín,50.095510227729584,14.54897777227042,5,False
3975746124,Pronájem bytu 2+1 80 m²,26000,Praha 4 - Braník,50.02627322772958,14.42123277227042,5,False
691741260,Pronájem bytu 2+1 72 m²,23000,Praha 6 - Dejvice,50.08632022772958,14.40898877227042,5,False
2742432332,Prodej bytu 2+1 66 m²,9074000,Praha 5 - Smíchov,50.05280822772958,14.40199277227042,5,False
3098124876,Prodej bytu 2+1 75 m²,0,Praha 10 - Vinohrady,50.06374122772958,14.46106377227042,5,False
1910051404,Pronájem bytu 3+kk 131 m²,64000,Praha 7 - Troja,50.10896422772958,14.43674477227042,6,False
2110329420,Pronájem bytu 3+kk 74 m²,26000,Praha 10 - Vršovice,50.05811822772958,14.465460772270418,6,False
852038220,Pronájem bytu 3+kk 116 m²,41000,Praha 2 - Vinohrady,50.06256622772958,14.452484772270418,6,False
331944524,Prodej bytu 3+kk 97 m²,16823000,Praha 4 - Chodov,50.02296922772958,14.51869977227042,6,False
1674121804,Prodej bytu 3+kk 90 m²,15658000,Praha 4 - Chodov,50.02296922772958,14.51869977227042,6,False
3016299084,Prodej bytu 3+kk 86 m²,14959000,Praha 4 - Chodov,50.02296922772958,14.51869977227042,6,False
382276172,Pronájem bytu 3+kk 110 m²,26000,Praha 5 - Radotín,49.97352722772958,14.37781977227042,6,False
3301511756,Pronájem bytu 3+kk 114 m²,0,Praha 5 - Smíchov,50.06630122772958,14.41460377227042,6,False
820388428,Pronájem bytu 3+kk 111 m²,51000,Praha 2 - Nové Město,50.06587322772958,14.43028277227042,6,False
234426956,Prodej bytu 3+kk 114 m²,13396000,Praha 5 - Zbraslav,49.95383222772958,14.39267577227042,6,False
821629516,Pronájem bytu 3+kk 145 m²,52000,Praha 2 - Nové Město,50.07285022772958,14.45424877227042,6,False
1358500428,Prodej bytu 3+kk 136 m²,23530000,Praha 8 - Karlín,50.08269222772958,14.45931877227042,6,False
2900955724,Pronájem bytu 3+kk 90 m²,29000,Praha 4 - Háje,50.019113227729584,14.548643772270418,6,False
2820215372,Pronájem bytu 3+kk 146 m²,64000,Praha 1 - Nové Město,50.07882822772958,14.44161577227042,6,False
3877179980,Pronájem bytu 3+kk 147 m²,57000,Praha 3 - Vinohrady,50.067395227729584,14.46132577227042,6,False
2453213772,Prodej bytu 3+kk 73 m² (Jednopodlažní),9522000,Praha 4 - Chodov,50.02043322772958,14.51616877227042,6,False
1781076556,Prodej bytu 3+kk 51 m²,6406000,Praha 6,50.08398522772958,14.35803077227042,6,False
4267250252,Pronájem bytu 3+kk 104 m² (Jednopodlažní),39000,Praha 8 - Libeň,50.11016622772958,14.47729377227042,6,False
14082636,Prodej bytu 3+kk 100 m²,14549000,Praha 9 - Vysočany,50.09318722772958,14.52589077227042,6,False
507634252,Prodej bytu 3+kk 88 m²,9901000,Praha 4 - Záběhlice,50.03648922772958,14.48727577227042,6,False
3701875276,Prodej bytu 3+kk 87 m² (Jednopodlažní),13396000,Praha 10 - Dolní Měcholupy,50.05340322772958,14.56431977227042,6,False
2913976908,Pronájem bytu 3+kk 154 m²,80000,Praha 1 - Nové Město,50.07431922772958,14.44714577227042,6,False
2370224716,Prodej bytu 3+kk 133 m²,25529000,Praha 3 - Vinohrady,50.06623922772958,14.47699077227042,6,False
2435523148,Prodej bytu 3+kk 50 m²,10472000,Praha 1 - Nové Město,50.066987227729584,14.43972377227042,6,False
1879614028,Prodej bytu 3+kk 117 m²,22948000,Praha 1 - Malá Strana,50.07900322772958,14.41909877227042,6,False
1141842508,Pronájem bytu 3+kk 110 m² (Loft),33000,Praha 5 - Lochkov,49.98994622772958,14.36636077227042,6,False
2327061068,Prodej bytu 3+kk 83 m²,10765000,Praha,50.07190022772958,14.44578977227042,6,False
3909362252,Prodej bytu 3+kk 76 m²,8736000,Praha 10 - Horní Měcholupy,50.03061022772958,14.57149677227042,6,False
2209035596,Pronájem bytu 3+kk 124 m²,69000,Praha 1 - Nové Město,50.07921722772958,14.43991377227042,6,False
3112186444,Pronájem bytu 3+kk 80 m²,22000,Praha 5 - Stodůlky,50.03789222772958,14.35919877227042,6,False
2498884172,Pronájem bytu 3+kk 94 m² (Jednopodlažní),36000,Praha 5 - Stodůlky,50.02770022772958,14.32775477227042,6,False
